"Issue","ANES_Variable","Cor_to_Party_ID","Normalized_Variance","Variance","Point_Scale","Type","Source","URL"
"abortion","v201336",0.451989227890663,0.303980138049567,1.21592055219827,4,"Moral","paper","https://raw.githubusercontent.com/Watts-Lab/deliberation-topics/main/topics/anes2020/abortion.md"
"science_for_covid","v202310",0.444934917152743,0.199631303849157,0.998156519245787,5,"Security","new","https://raw.githubusercontent.com/Watts-Lab/deliberation-topics/main/topics/anes2020/science_for_covid.md"
"better_if_treated_fairly","v202263",0.444922031243496,0.288962115948413,1.44481057974207,5,"Civil Rights","paper","https://raw.githubusercontent.com/Watts-Lab/deliberation-topics/main/topics/anes2020/better_if_treated_fairly.md"
"regulate_greenhouse","v202336x",0.438939375708489,0.506729861005292,3.54710902703704,7,"Economic","new","https://raw.githubusercontent.com/Watts-Lab/deliberation-topics/main/topics/anes2020/regulate_greenhouse.md"
"trans_in_military","v202390x",0.432211909311229,0.538134779739137,3.76694345817396,7,"Moral","new","https://raw.githubusercontent.com/Watts-Lab/deliberation-topics/main/topics/anes2020/trans_in_military.md"
"excessive_police_force","v202351",0.429310798377872,0.191376338905334,0.95688169452667,5,"Security","new","https://raw.githubusercontent.com/Watts-Lab/deliberation-topics/main/topics/anes2020/excessive_police_force.md"
"fs_health_care","v202380x",0.428819982682874,0.400988417424122,2.80691892196885,7,"Economic","new","https://raw.githubusercontent.com/Watts-Lab/deliberation-topics/main/topics/anes2020/fs_health_care.md"
"traditional_fam_values","v202265",0.415194012132647,0.318305156317604,1.59152578158802,5,"Moral","paper","https://raw.githubusercontent.com/Watts-Lab/deliberation-topics/main/topics/anes2020/traditional_fam_values.md"
"defense_spending","v201249",0.410875786679666,0.450246835122399,3.15172784585679,7,"Security","paper","https://raw.githubusercontent.com/Watts-Lab/deliberation-topics/main/topics/anes2020/defense_spending.md"
"immigration_levels","v202232",0.406504954436942,0.257418348171289,1.28709174085644,5,"Security","new","https://raw.githubusercontent.com/Watts-Lab/deliberation-topics/main/topics/anes2020/immigration_levels.md"
"should_adjust_morals","v202264",0.396832774930727,0.382596554261547,1.91298277130773,5,"Moral","paper","https://raw.githubusercontent.com/Watts-Lab/deliberation-topics/main/topics/anes2020/should_adjust_morals.md"
"death_penalty","v201345x",0.386682588032046,0.327113208426292,1.30845283370517,4,"Moral","new","https://raw.githubusercontent.com/Watts-Lab/deliberation-topics/main/topics/anes2020/death_penalty.md"
"prblm_if_better_chances","v202262",0.381479228074036,0.286594687810975,1.43297343905487,5,"Civil Rights","paper","https://raw.githubusercontent.com/Watts-Lab/deliberation-topics/main/topics/anes2020/prblm_if_better_chances.md"
"taking_refugees","v202236x",0.373737945845006,0.445742357500737,3.12019650250516,7,"Security","new","https://raw.githubusercontent.com/Watts-Lab/deliberation-topics/main/topics/anes2020/taking_refugees.md"
"ban_assault_rifles","v202344x",0.362679719867346,0.817075430537355,5.71952801376149,7,"Security","new","https://raw.githubusercontent.com/Watts-Lab/deliberation-topics/main/topics/anes2020/ban_assault_rifles.md"
"immigration_take_jobs","v202233",0.362623784180899,0.21760185162895,0.870407406515801,4,"Economic","new","https://raw.githubusercontent.com/Watts-Lab/deliberation-topics/main/topics/anes2020/immigration_take_jobs.md"
"fs_public_schools","v201305x",0.357454137446419,0.245892327266654,1.22946163633327,5,"Economic","paper","https://raw.githubusercontent.com/Watts-Lab/deliberation-topics/main/topics/anes2020/fs_public_schools.md"
"seperating_children","v202248x",0.35492575355817,0.348252793446107,2.43776955412275,7,"Security","new","https://raw.githubusercontent.com/Watts-Lab/deliberation-topics/main/topics/anes2020/seperating_children.md"
"ensure_eql_opportunity","v202260",0.325626154799792,0.248225940428536,1.24112970214268,5,"Civil Rights","paper","https://raw.githubusercontent.com/Watts-Lab/deliberation-topics/main/topics/anes2020/ensure_eql_opportunity.md"
"diversity","v202373x",0.321299992930214,0.243368323446466,1.21684161723233,5,"Moral","new","https://raw.githubusercontent.com/Watts-Lab/deliberation-topics/main/topics/anes2020/diversity.md"
"path_to_citizenship","v202242x",0.315481830369431,0.511592653319472,3.5811485732363,7,"Security","new","https://raw.githubusercontent.com/Watts-Lab/deliberation-topics/main/topics/anes2020/path_to_citizenship.md"
"gay_marriage","v201416",0.301398327541219,0.178152221686262,0.534456665058787,3,"Moral","new","https://raw.githubusercontent.com/Watts-Lab/deliberation-topics/main/topics/anes2020/gay_marriage.md"
"women_equality_favors","v202291",0.267444485143061,0.228607741981189,1.14303870990595,5,"Moral","new","https://raw.githubusercontent.com/Watts-Lab/deliberation-topics/main/topics/anes2020/women_equality_favors.md"
"fs_crime","v201311x",0.255240914120794,0.27581010987129,1.37905054935645,5,"Security","paper","https://raw.githubusercontent.com/Watts-Lab/deliberation-topics/main/topics/anes2020/fs_crime.md"
"laws_to_protect_gays","v201414x",0.254109196998014,0.204156048936906,0.816624195747626,4,"Moral","paper","https://raw.githubusercontent.com/Watts-Lab/deliberation-topics/main/topics/anes2020/laws_to_protect_gays.md"
"gays_adopting","v201415",0.246424111812606,0.0824310373347329,0.164862074669466,2,"Moral","paper","https://raw.githubusercontent.com/Watts-Lab/deliberation-topics/main/topics/anes2020/gays_adopting.md"
"men_work_women_home","v202290x",0.229349847292068,0.243786350106165,1.70650445074315,7,"Moral","paper","https://raw.githubusercontent.com/Watts-Lab/deliberation-topics/main/topics/anes2020/men_work_women_home.md"
"gun_background_checks","v202341x",0.209787180065856,0.27332587599598,1.91328113197186,7,"Security","new","https://raw.githubusercontent.com/Watts-Lab/deliberation-topics/main/topics/anes2020/gun_background_checks.md"
"being_feminist","v202476",0.195036068550623,0.235141372680302,1.17570686340151,5,"Moral","new","https://raw.githubusercontent.com/Watts-Lab/deliberation-topics/main/topics/anes2020/being_feminist.md"
"fs_social_security","v201302x",0.170796913904339,0.205239270744357,1.02619635372178,5,"Economic","paper","https://raw.githubusercontent.com/Watts-Lab/deliberation-topics/main/topics/anes2020/fs_social_security.md"
"opioid_crisis","v202350x",0.161251684513918,0.334815385532836,2.34370769872985,7,"Moral","new","https://raw.githubusercontent.com/Watts-Lab/deliberation-topics/main/topics/anes2020/opioid_crisis.md"
"reducing_deficit","v202321",0.145776054239553,0.190296483230418,0.951482416152088,5,"Economic","new","https://raw.githubusercontent.com/Watts-Lab/deliberation-topics/main/topics/anes2020/reducing_deficit.md"
"trust_washington","v201233",0.0737775361161018,0.161213385196805,0.806066925984027,5,"Nonpartisan","new","https://raw.githubusercontent.com/Watts-Lab/deliberation-topics/main/topics/anes2020/trust_washington.md"
"fs_highways","v201317x",0.0631177864843629,0.188645654845788,0.94322827422894,5,"Economic","new","https://raw.githubusercontent.com/Watts-Lab/deliberation-topics/main/topics/anes2020/fs_highways.md"
"trust_people","v201237",0.0514462225878853,0.1717699996591,0.858849998295501,5,"Nonpartisan","new","https://raw.githubusercontent.com/Watts-Lab/deliberation-topics/main/topics/anes2020/trust_people.md"
"facebook","v202542",0.0211355611699933,0.49901301651959,3.49309111563713,7,"Nonpartisan","new","https://raw.githubusercontent.com/Watts-Lab/deliberation-topics/main/topics/anes2020/facebook.md"
"cigarettes","v202470",0.00958563854069864,0.237814149090849,0.713442447272546,3,"Nonpartisan","new","https://raw.githubusercontent.com/Watts-Lab/deliberation-topics/main/topics/anes2020/cigarettes.md"
